Year,Location,Plot_ID,Tray,Entry,Cross-Id,Cross,GH_Awns,Plot,PH,HD,Awns
2021,Raleigh,R21-SRils-53,1.14.1,NC08-23383,UX2031,PARENT,-,53,72,109,0
2021,Raleigh,R21-SRils-54,1.14.2,132,UX2031,NC08-23383/TX12D4896,-,54,85,110,0
2021,Raleigh,R21-SRils-55,1.14.3,134,UX2031,NC08-23383/TX12D4896,-,55,100,104,0
2021,Raleigh,R21-SRils-56,1.14.4,21,UX2031,NC08-23383/TX12D4896,-,56,105,112,Mix
2021,Raleigh,R21-SRils-57,1.15.1,19,UX2031,NC08-23383/TX12D4896,+,57,85,116,1
2021,Raleigh,R21-SRils-58,1.15.2,54,UX2031,NC08-23383/TX12D4896,+,58,95,104,1
2021,Raleigh,R21-SRils-59,1.15.3,73,UX2031,NC08-23383/TX12D4896,-,59,85,104,0
2021,Raleigh,R21-SRils-60,1.15.4,75,UX2031,NC08-23383/TX12D4896,-,60,75,104,0
2021,Raleigh,R21-SRils-61,1.16.1,108,UX2031,NC08-23383/TX12D4896,-,61,80,105,0
2021,Raleigh,R21-SRils-62,1.16.2,103,UX2031,NC08-23383/TX12D4896,-,62,80,107,Mix
2021,Raleigh,R21-SRils-63,1.16.3,74,UX2031,NC08-23383/TX12D4896,-,63,85,101,0
2021,Raleigh,R21-SRils-64,1.16.4,100,UX2031,NC08-23383/TX12D4896,-,64,95,103,0
2021,Raleigh,R21-SRils-65,1.17.1,12,UX2031,NC08-23383/TX12D4896,+,65,90,108,0
2021,Raleigh,R21-SRils-66,1.17.2,97,UX2031,NC08-23383/TX12D4896,-,66,90,107,0
2021,Raleigh,R21-SRils-67,1.17.3,35,UX2031,NC08-23383/TX12D4896,-,67,85,102,0
2021,Raleigh,R21-SRils-68,1.17.4,53,UX2031,NC08-23383/TX12D4896,+,68,95,110,1
2021,Raleigh,R21-SRils-69,1.18.1,89,UX2031,NC08-23383/TX12D4896,-,69,80,103,0
2021,Raleigh,R21-SRils-70,1.18.2,34,UX2031,NC08-23383/TX12D4896,+,70,70,110,0
2021,Raleigh,R21-SRils-71,1.18.3,1,UX2031,NC08-23383/TX12D4896,-,71,90,113,1
2021,Raleigh,R21-SRils-72,1.18.4,32,UX2031,NC08-23383/TX12D4896,-,72,85,110,0
2021,Raleigh,R21-SRils-73,1.19.1,37,UX2031,NC08-23383/TX12D4896,-,73,80,109,0
2021,Raleigh,R21-SRils-74,1.19.2,33,UX2031,NC08-23383/TX12D4896,-,74,80,112,0
2021,Raleigh,R21-SRils-75,1.19.3,9,UX2031,NC08-23383/TX12D4896,+,75,80,119,1
2021,Raleigh,R21-SRils-76,1.19.4,30,UX2031,NC08-23383/TX12D4896,-,76,80,118,0
2021,Raleigh,R21-SRils-77,1.20.1,16,UX2031,NC08-23383/TX12D4896,+,77,95,113,1
2021,Raleigh,R21-SRils-78,1.20.2,28,UX2031,NC08-23383/TX12D4896,-,78,95,103,0
2021,Raleigh,R21-SRils-79,1.20.3,27,UX2031,NC08-23383/TX12D4896,-,79,85,102,0
2021,Raleigh,R21-SRils-80,1.20.4,23,UX2031,NC08-23383/TX12D4896,-,80,90,119,0
2021,Raleigh,R21-SRils-81,2.1.1,Barley,UX2031,MARKER,+,81,NA,NA,1
2021,Raleigh,R21-SRils-82,2.1.2,NC08-23383,UX2031,PARENT,-,82,85,104,0
2021,Raleigh,R21-SRils-83,2.1.3,TX12D4896,UX2031,PARENT,+,83,95,105,1
2021,Raleigh,R21-SRils-84,2.1.4,NC08-23383,UX2031,PARENT,-,84,90,106,0
2021,Raleigh,R21-SRils-85,2.2.1,6,UX2031,NC08-23383/TX12D4896,+,85,80,104,1
2021,Raleigh,R21-SRils-86,2.2.2,5,UX2031,NC08-23383/TX12D4896,+,86,95,112,1
2021,Raleigh,R21-SRils-87,2.2.3,42,UX2031,NC08-23383/TX12D4896,+,87,75,104,1
2021,Raleigh,R21-SRils-88,2.2.4,52,UX2031,NC08-23383/TX12D4896,+,88,90,107,1
2021,Raleigh,R21-SRils-89,2.3.1,49,UX2031,NC08-23383/TX12D4896,+,89,82,104,1
2021,Raleigh,R21-SRils-90,2.3.2,43,UX2031,NC08-23383/TX12D4896,+,90,80,120,1
2021,Raleigh,R21-SRils-91,2.3.3,45,UX2031,NC08-23383/TX12D4896,+,91,85,112,1
2021,Raleigh,R21-SRils-92,2.3.4,47,UX2031,NC08-23383/TX12D4896,+,92,85,102,1
2021,Raleigh,R21-SRils-93,2.4.1,44,UX2031,NC08-23383/TX12D4896,+,93,95,111,1
2021,Raleigh,R21-SRils-94,2.4.2,24,UX2031,NC08-23383/TX12D4896,+,94,85,119,1
2021,Raleigh,R21-SRils-95,2.4.3,18,UX2031,NC08-23383/TX12D4896,+,95,85,110,1
2021,Raleigh,R21-SRils-96,2.4.4,2,UX2031,NC08-23383/TX12D4896,+,96,90,112,1
2021,Raleigh,R21-SRils-97,2.5.1,22,UX2031,NC08-23383/TX12D4896,-,97,92,106,0
2021,Raleigh,R21-SRils-98,2.5.2,20,UX2031,NC08-23383/TX12D4896,+,98,80,110,1
2021,Raleigh,R21-SRils-99,2.5.3,4,UX2031,NC08-23383/TX12D4896,+,99,85,101,1
2021,Raleigh,R21-SRils-100,2.5.4,41,UX2031,NC08-23383/TX12D4896,+,100,70,116,1
2021,Raleigh,R21-SRils-101,2.6.1,77,UX2031,NC08-23383/TX12D4896,-,101,95,104,0
2021,Raleigh,R21-SRils-102,2.6.2,95,UX2031,NC08-23383/TX12D4896,-,102,80,100,0
2021,Raleigh,R21-SRils-103,2.6.3,94,UX2031,NC08-23383/TX12D4896,-,103,85,103,0
2021,Raleigh,R21-SRils-104,2.6.4,127,UX2031,NC08-23383/TX12D4896,-,104,85,103,0
2021,Raleigh,R21-SRils-105,2.7.1,121,UX2031,NC08-23383/TX12D4896,-,105,80,107,0
2021,Raleigh,R21-SRils-106,2.7.2,126,UX2031,NC08-23383/TX12D4896,-,106,75,110,0
2021,Raleigh,R21-SRils-107,2.7.3,122,UX2031,NC08-23383/TX12D4896,-,107,70,109,Mix
2021,Raleigh,R21-SRils-108,2.7.4,136,UX2031,NC08-23383/TX12D4896,-,108,85,116,0
2021,Raleigh,R21-SRils-109,2.8.1,70,UX2031,NC08-23383/TX12D4896,-,109,75,110,0
2021,Raleigh,R21-SRils-110,2.8.2,128,UX2031,NC08-23383/TX12D4896,-,110,82,102,0
2021,Raleigh,R21-SRils-111,2.8.3,71,UX2031,NC08-23383/TX12D4896,-,111,90,100,0
2021,Raleigh,R21-SRils-112,2.8.4,72,UX2031,NC08-23383/TX12D4896,-,112,85,110,0
2021,Raleigh,R21-SRils-113,2.9.1,120,UX2031,NC08-23383/TX12D4896,-,113,72,104,0
2021,Raleigh,R21-SRils-114,2.9.2,102,UX2031,NC08-23383/TX12D4896,-,114,90,108,0
2021,Raleigh,R21-SRils-115,2.9.3,119,UX2031,NC08-23383/TX12D4896,-,115,90,100,0
2021,Raleigh,R21-SRils-116,2.9.4,118,UX2031,NC08-23383/TX12D4896,-,116,80,104,0
2021,Raleigh,R21-SRils-117,2.10.1,117,UX2031,NC08-23383/TX12D4896,?,117,70,119,0
2021,Raleigh,R21-SRils-118,2.10.2,NC08-23383,UX2031,PARENT,-,118,75,106,0
2021,Raleigh,R21-SRils-119,2.10.3,116,UX2031,NC08-23383/TX12D4896,-,119,75,110,0
2021,Raleigh,R21-SRils-120,2.10.4,115,UX2031,NC08-23383/TX12D4896,-,120,80,109,Mix
2021,Raleigh,R21-SRils-121,2.11.1,66,UX2031,NC08-23383/TX12D4896,-,121,75,118,0
2021,Raleigh,R21-SRils-122,2.11.2,114,UX2031,NC08-23383/TX12D4896,-,122,80,103,0
2021,Raleigh,R21-SRils-123,2.11.3,105,UX2031,NC08-23383/TX12D4896,-,123,80,118,Mix
2021,Raleigh,R21-SRils-124,2.11.4,113,UX2031,NC08-23383/TX12D4896,-,124,75,109,0
2021,Raleigh,R21-SRils-125,2.12.1,TX12D4896,UX2031,PARENT,+,125,90,107,1
2021,Raleigh,R21-SRils-126,2.12.2,112,UX2031,NC08-23383/TX12D4896,-,126,80,107,0
2021,Raleigh,R21-SRils-127,2.12.3,111,UX2031,NC08-23383/TX12D4896,-,127,90,111,0
2021,Raleigh,R21-SRils-128,2.12.4,123,UX2031,NC08-23383/TX12D4896,-,128,90,110,0
2021,Raleigh,R21-SRils-129,2.13.1,124,UX2031,NC08-23383/TX12D4896,-,129,80,107,0
2021,Raleigh,R21-SRils-130,2.13.2,130,UX2031,NC08-23383/TX12D4896,-,130,85,117,0
2021,Raleigh,R21-SRils-131,2.13.3,65,UX2031,NC08-23383/TX12D4896,-,131,75,110,Mix
2021,Raleigh,R21-SRils-132,2.13.4,133,UX2031,NC08-23383/TX12D4896,-,132,80,112,0
2021,Raleigh,R21-SRils-133,2.14.1,67,UX2031,NC08-23383/TX12D4896,-,133,85,107,0
2021,Raleigh,R21-SRils-134,2.14.2,131,UX2031,NC08-23383/TX12D4896,-,134,90,118,0
2021,Raleigh,R21-SRils-135,2.14.3,109,UX2031,NC08-23383/TX12D4896,-,135,70,104,Mix
2021,Raleigh,R21-SRils-136,2.14.4,107,UX2031,NC08-23383/TX12D4896,-,136,75,109,0
2021,Raleigh,R21-SRils-137,2.15.1,106,UX2031,NC08-23383/TX12D4896,-,137,70,116,0
2021,Raleigh,R21-SRils-138,2.15.2,64,UX2031,NC08-23383/TX12D4896,-,138,80,118,0
2021,Raleigh,R21-SRils-139,2.15.3,137,UX2031,NC08-23383/TX12D4896,-,139,85,119,0
2021,Raleigh,R21-SRils-140,2.15.4,139,UX2031,NC08-23383/TX12D4896,+,140,75,102,1
2021,Raleigh,R21-SRils-141,2.16.1,138,UX2031,NC08-23383/TX12D4896,+,141,NA,NA,NA
2021,Raleigh,R21-SRils-142,2.16.2,140,UX2031,NC08-23383/TX12D4896,-,142,80,105,1
2021,Raleigh,R21-SRils-143,2.16.3,63,UX2031,NC08-23383/TX12D4896,-,143,85,104,0
2021,Raleigh,R21-SRils-144,2.16.4,62,UX2031,NC08-23383/TX12D4896,-,144,85,108,0
2021,Raleigh,R21-SRils-145,2.17.1,61,UX2031,NC08-23383/TX12D4896,-,145,90,107,Mix
2021,Raleigh,R21-SRils-146,2.17.2,76,UX2031,NC08-23383/TX12D4896,-,146,90,106,0
2021,Raleigh,R21-SRils-147,2.17.3,68,UX2031,NC08-23383/TX12D4896,-,147,85,103,Mix
2021,Raleigh,R21-SRils-148,2.17.4,143,UX2031,NC08-23383/TX12D4896,+,148,75,110,1
2021,Raleigh,R21-SRils-149,2.18.1,141,UX2031,NC08-23383/TX12D4896,+,149,75,117,1
2021,Raleigh,R21-SRils-150,2.18.2,142,UX2031,NC08-23383/TX12D4896,+,150,80,117,1
2021,Raleigh,R21-SRils-151,2.18.3,144,UX2031,NC08-23383/TX12D4896,+,151,70,119,1
2021,Raleigh,R21-SRils-152,2.18.4,60,UX2031,NC08-23383/TX12D4896,+,152,75,108,1
2021,Raleigh,R21-SRils-153,2.19.1,Blank,UX2031,Blank,.,153,NA,NA,NA
2021,Raleigh,R21-SRils-154,2.19.2,TX12D4896,UX2031,PARENT,+,154,90,108,1
2021,Raleigh,R21-SRils-155,2.19.3,NC08-23383,UX1995,PARENT,-,155,80,104,0
2021,Raleigh,R21-SRils-156,2.19.4,NC8248-1,UX1995,PARENT,+,156,80,104,1
2021,Raleigh,R21-SRils-157,2.20.1,33,UX1995,NC8248-1/NC08-23383,+,157,75,110,1
2021,Raleigh,R21-SRils-158,2.20.2,38,UX1995,NC8248-1/NC08-23383,+,158,70,110,1
2021,Raleigh,R21-SRils-159,2.20.3,37,UX1995,NC8248-1/NC08-23383,+,159,80,108,1
2021,Raleigh,R21-SRils-160,2.20.4,32,UX1995,NC8248-1/NC08-23383,+,160,75,107,1
2021,Raleigh,R21-SRils-161,3.1.1,Barley,UX1995,MARKER,+,161,,NA,1
2021,Raleigh,R21-SRils-162,3.1.2,NC8248-1,UX1995,PARENT,+,162,80,103,1
2021,Raleigh,R21-SRils-163,3.1.3,NC08-23383,UX1995,PARENT,-,163,75,108,0
2021,Raleigh,R21-SRils-164,3.1.4,NC8248-1,UX1995,PARENT,+,164,80,104,1
2021,Raleigh,R21-SRils-165,3.2.1,40,UX1995,NC8248-1/NC08-23383,+,165,90,112,1
2021,Raleigh,R21-SRils-166,3.2.2,16,UX1995,NC8248-1/NC08-23383,-,166,75,109,0
2021,Raleigh,R21-SRils-167,3.2.3,53,UX1995,NC8248-1/NC08-23383,-,167,75,107,0
2021,Raleigh,R21-SRils-168,3.2.4,39,UX1995,NC8248-1/NC08-23383,+,168,75,104,1
2021,Raleigh,R21-SRils-169,3.3.1,79,UX1995,NC8248-1/NC08-23383,-,169,80,103,1
2021,Raleigh,R21-SRils-170,3.3.2,24,UX1995,NC8248-1/NC08-23383,+,170,82,107,1
2021,Raleigh,R21-SRils-171,3.3.3,74,UX1995,NC8248-1/NC08-23383,+,171,80,104,1
2021,Raleigh,R21-SRils-172,3.3.4,136,UX1995,NC8248-1/NC08-23383,-,172,65,114,0
2021,Raleigh,R21-SRils-173,3.4.1,17,UX1995,NC8248-1/NC08-23383,-,173,85,110,0
2021,Raleigh,R21-SRils-174,3.4.2,48,UX1995,NC8248-1/NC08-23383,+,174,80,107,1
2021,Raleigh,R21-SRils-175,3.4.3,54,UX1995,NC8248-1/NC08-23383,+,175,90,102,1
2021,Raleigh,R21-SRils-176,3.4.4,56,UX1995,NC8248-1/NC08-23383,+,176,75,108,1
2021,Raleigh,R21-SRils-177,3.5.1,52,UX1995,NC8248-1/NC08-23383,+,177,85,108,1
2021,Raleigh,R21-SRils-178,3.5.2,12,UX1995,NC8248-1/NC08-23383,+,178,85,106,1
2021,Raleigh,R21-SRils-179,3.5.3,15,UX1995,NC8248-1/NC08-23383,+,179,90,100,1
2021,Raleigh,R21-SRils-180,3.5.4,51,UX1995,NC8248-1/NC08-23383,-,180,70,110,0
2021,Raleigh,R21-SRils-181,3.6.1,50,UX1995,NC8248-1/NC08-23383,+,181,80,107,1
2021,Raleigh,R21-SRils-182,3.6.2,45,UX1995,NC8248-1/NC08-23383,+,182,75,105,1
2021,Raleigh,R21-SRils-183,3.6.3,44,UX1995,NC8248-1/NC08-23383,+,183,72,110,1
2021,Raleigh,R21-SRils-184,3.6.4,14,UX1995,NC8248-1/NC08-23383,-,184,70,107,0
2021,Raleigh,R21-SRils-185,3.7.1,43,UX1995,NC8248-1/NC08-23383,-,185,85,107,Mix
2021,Raleigh,R21-SRils-186,3.7.2,11,UX1995,NC8248-1/NC08-23383,-,186,90,110,0
2021,Raleigh,R21-SRils-187,3.7.3,145,UX1995,NC8248-1/NC08-23383,-,187,65,110,0
2021,Raleigh,R21-SRils-188,3.7.4,41,UX1995,NC8248-1/NC08-23383,+,188,70,109,1
2021,Raleigh,R21-SRils-189,3.8.1,42,UX1995,NC8248-1/NC08-23383,-,189,70,111,0
2021,Raleigh,R21-SRils-190,3.8.2,31,UX1995,NC8248-1/NC08-23383,-,190,70,108,Mix
2021,Raleigh,R21-SRils-191,3.8.3,89,UX1995,NC8248-1/NC08-23383,-,191,70,106,0
2021,Raleigh,R21-SRils-192,3.8.4,68,UX1995,NC8248-1/NC08-23383,+,192,80,107,1
2021,Raleigh,R21-SRils-193,3.9.1,86,UX1995,NC8248-1/NC08-23383,-,193,80,109,0
2021,Raleigh,R21-SRils-194,3.9.2,9,UX1995,NC8248-1/NC08-23383,-,194,75,107,Mix
2021,Raleigh,R21-SRils-195,3.9.3,76,UX1995,NC8248-1/NC08-23383,-,195,75,105,0
2021,Raleigh,R21-SRils-196,3.9.4,6,UX1995,NC8248-1/NC08-23383,+,196,80,105,1
2021,Raleigh,R21-SRils-197,3.10.1,13,UX1995,NC8248-1/NC08-23383,+,197,80,110,1
2021,Raleigh,R21-SRils-198,3.10.2,49,UX1995,NC8248-1/NC08-23383,+,198,80,110,1
2021,Raleigh,R21-SRils-199,3.10.3,30,UX1995,NC8248-1/NC08-23383,+,199,90,100,1
2021,Raleigh,R21-SRils-200,3.10.4,46,UX1995,NC8248-1/NC08-23383,+,200,90,101,1
2021,Raleigh,R21-SRils-201,3.11.1,47,UX1995,NC8248-1/NC08-23383,+,201,65,109,1
2021,Raleigh,R21-SRils-202,3.11.2,55,UX1995,NC8248-1/NC08-23383,+,202,75,104,1
2021,Raleigh,R21-SRils-203,3.11.3,49,UX1995,NC8248-1/NC08-23383,+,203,85,110,1
2021,Raleigh,R21-SRils-204,3.11.4,48,UX1995,NC8248-1/NC08-23383,+,204,85,108,1
2021,Raleigh,R21-SRils-205,3.12.1,34,UX1995,NC8248-1/NC08-23383,+,205,70,109,1
2021,Raleigh,R21-SRils-206,3.12.2,NC08-23383,UX1995,PARENT,-,206,75,109,0
2021,Raleigh,R21-SRils-207,3.12.3,35,UX1995,NC8248-1/NC08-23383,-,207,75,108,0
2021,Raleigh,R21-SRils-208,3.12.4,36,UX1995,NC8248-1/NC08-23383,-,208,80,NA,0
2021,Raleigh,R21-SRils-209,3.13.1,75,UX1995,NC8248-1/NC08-23383,-,209,75,102,0
2021,Raleigh,R21-SRils-210,3.13.2,70,UX1995,NC8248-1/NC08-23383,+,210,90,104,1
2021,Raleigh,R21-SRils-211,3.13.3,81,UX1995,NC8248-1/NC08-23383,+,211,85,108,1
2021,Raleigh,R21-SRils-212,3.13.4,25,UX1995,NC8248-1/NC08-23383,-,212,95,104,0
2021,Raleigh,R21-SRils-213,3.14.1,NC8248-1,UX1995,PARENT,+,213,90,103,1
2021,Raleigh,R21-SRils-214,3.14.2,69,UX1995,NC8248-1/NC08-23383,+,214,85,104,Mix
2021,Raleigh,R21-SRils-215,3.14.3,77,UX1995,NC8248-1/NC08-23383,-,215,85,104,0
2021,Raleigh,R21-SRils-216,3.14.4,72,UX1995,NC8248-1/NC08-23383,-,216,85,104,0
2021,Raleigh,R21-SRils-217,3.15.1,62,UX1995,NC8248-1/NC08-23383,-,217,80,103,0
2021,Raleigh,R21-SRils-218,3.15.2,27,UX1995,NC8248-1/NC08-23383,+,218,80,109,1
2021,Raleigh,R21-SRils-219,3.15.3,67,UX1995,NC8248-1/NC08-23383,+,219,85,103,1
2021,Raleigh,R21-SRils-220,3.15.4,66,UX1995,NC8248-1/NC08-23383,+,220,90,104,1
2021,Raleigh,R21-SRils-221,3.16.1,63,UX1995,NC8248-1/NC08-23383,+,221,80,108,1
2021,Raleigh,R21-SRils-222,3.16.2,65,UX1995,NC8248-1/NC08-23383,+,222,85,107,1
2021,Raleigh,R21-SRils-223,3.16.3,28,UX1995,NC8248-1/NC08-23383,-,223,80,109,Mix
2021,Raleigh,R21-SRils-224,3.16.4,60,UX1995,NC8248-1/NC08-23383,-,224,75,107,0
2021,Raleigh,R21-SRils-225,3.17.1,88,UX1995,NC8248-1/NC08-23383,-,225,90,109,0
2021,Raleigh,R21-SRils-226,3.17.2,87,UX1995,NC8248-1/NC08-23383,+,226,70,109,1
2021,Raleigh,R21-SRils-227,3.17.3,58,UX1995,NC8248-1/NC08-23383,+,227,80,111,1
2021,Raleigh,R21-SRils-228,3.17.4,85,UX1995,NC8248-1/NC08-23383,-,228,80,107,Mix
2021,Raleigh,R21-SRils-229,3.18.1,59,UX1995,NC8248-1/NC08-23383,-,229,75,104,0
2021,Raleigh,R21-SRils-230,3.18.2,71,UX1995,NC8248-1/NC08-23383,-,230,75,104,0
2021,Raleigh,R21-SRils-231,3.18.3,73,UX1995,NC8248-1/NC08-23383,+,231,75,102,1
2021,Raleigh,R21-SRils-232,3.18.4,78,UX1995,NC8248-1/NC08-23383,-,232,75,103,0
2021,Raleigh,R21-SRils-233,3.19.1,83,UX1995,NC8248-1/NC08-23383,-,233,80,104,0
2021,Raleigh,R21-SRils-234,3.19.2,90,UX1995,NC8248-1/NC08-23383,-,234,75,108,0
2021,Raleigh,R21-SRils-235,3.19.3,82,UX1995,NC8248-1/NC08-23383,-,235,75,104,1
2021,Raleigh,R21-SRils-236,3.19.4,80,UX1995,NC8248-1/NC08-23383,+,236,80,105,1
2021,Raleigh,R21-SRils-237,3.20.1,64,UX1995,NC8248-1/NC08-23383,+,237,95,103,1
2021,Raleigh,R21-SRils-238,3.20.2,26,UX1995,NC8248-1/NC08-23383,-,238,85,107,0
2021,Raleigh,R21-SRils-239,3.20.3,61,UX1995,NC8248-1/NC08-23383,-,239,90,106,0
2021,Raleigh,R21-SRils-240,3.20.4,21,UX1995,NC8248-1/NC08-23383,+,240,95,107,1
2021,Raleigh,R21-SRils-241,4.1.1,Barley,UX1995,MARKER,+,241,,NA,1
2021,Raleigh,R21-SRils-242,4.1.2,NC08-23383,UX1995,PARENT,-,242,80,107,0
2021,Raleigh,R21-SRils-243,4.1.3,NC8248-1,UX1995,PARENT,+,243,85,103,1
2021,Raleigh,R21-SRils-244,4.1.4,NC08-23383,UX1995,PARENT,-,244,80,107,0
2021,Raleigh,R21-SRils-245,4.2.1,111,UX1995,NC8248-1/NC08-23383,+,245,85,103,1
2021,Raleigh,R21-SRils-246,4.2.2,91,UX1995,NC8248-1/NC08-23383,+,246,85,108,1
2021,Raleigh,R21-SRils-247,4.2.3,95,UX1995,NC8248-1/NC08-23383,+,247,90,107,1
2021,Raleigh,R21-SRils-248,4.2.4,23,UX1995,NC8248-1/NC08-23383,+,248,80,107,1
2021,Raleigh,R21-SRils-249,4.3.1,98,UX1995,NC8248-1/NC08-23383,+,249,95,108,1
2021,Raleigh,R21-SRils-250,4.3.2,113,UX1995,NC8248-1/NC08-23383,-,250,95,107,0
2021,Raleigh,R21-SRils-251,4.3.3,112,UX1995,NC8248-1/NC08-23383,-,251,80,104,0
2021,Raleigh,R21-SRils-252,4.3.4,22,UX1995,NC8248-1/NC08-23383,+,252,70,108,1
2021,Raleigh,R21-SRils-253,4.4.1,114,UX1995,NC8248-1/NC08-23383,-,253,90,100,0
2021,Raleigh,R21-SRils-254,4.4.2,99,UX1995,NC8248-1/NC08-23383,-,254,90,107,0
2021,Raleigh,R21-SRils-255,4.4.3,96,UX1995,NC8248-1/NC08-23383,+,255,85,104,1
2021,Raleigh,R21-SRils-256,4.4.4,100,UX1995,NC8248-1/NC08-23383,-,256,70,104,0
2021,Raleigh,R21-SRils-257,4.5.1,94,UX1995,NC8248-1/NC08-23383,+,257,80,101,1
2021,Raleigh,R21-SRils-258,4.5.2,101,UX1995,NC8248-1/NC08-23383,+,258,80,103,1
2021,Raleigh,R21-SRils-259,4.5.3,102,UX1995,NC8248-1/NC08-23383,-,259,85,98,0
2021,Raleigh,R21-SRils-260,4.5.4,117,UX1995,NC8248-1/NC08-23383,+,260,75,108,1
2021,Raleigh,R21-SRils-261,4.6.1,115,UX1995,NC8248-1/NC08-23383,+,261,80,108,1
2021,Raleigh,R21-SRils-262,4.6.2,143,UX1995,NC8248-1/NC08-23383,+,262,75,108,1
2021,Raleigh,R21-SRils-263,4.6.3,93,UX1995,NC8248-1/NC08-23383,-,263,75,104,0
2021,Raleigh,R21-SRils-264,4.6.4,103,UX1995,NC8248-1/NC08-23383,-,264,75,104,0
2021,Raleigh,R21-SRils-265,4.7.1,104,UX1995,NC8248-1/NC08-23383,-,265,95,107,Mix
2021,Raleigh,R21-SRils-266,4.7.2,105,UX1995,NC8248-1/NC08-23383,+,266,95,104,1
2021,Raleigh,R21-SRils-267,4.7.3,110,UX1995,NC8248-1/NC08-23383,+,267,90,107,1
2021,Raleigh,R21-SRils-268,4.7.4,109,UX1995,NC8248-1/NC08-23383,+,268,75,108,1
2021,Raleigh,R21-SRils-269,4.8.1,92,UX1995,NC8248-1/NC08-23383,+,269,95,106,1
2021,Raleigh,R21-SRils-270,4.8.2,107,UX1995,NC8248-1/NC08-23383,-,270,82,107,0
2021,Raleigh,R21-SRils-271,4.8.3,106,UX1995,NC8248-1/NC08-23383,-,271,72,104,0
2021,Raleigh,R21-SRils-272,4.8.4,108,UX1995,NC8248-1/NC08-23383,+,272,80,110,1
2021,Raleigh,R21-SRils-273,4.9.1,140,UX1995,NC8248-1/NC08-23383,+,273,85,104,1
2021,Raleigh,R21-SRils-274,4.9.2,118,UX1995,NC8248-1/NC08-23383,+,274,80,109,1
2021,Raleigh,R21-SRils-275,4.9.3,138,UX1995,NC8248-1/NC08-23383,+,275,85,108,1
2021,Raleigh,R21-SRils-276,4.9.4,120,UX1995,NC8248-1/NC08-23383,-,276,70,104,0
2021,Raleigh,R21-SRils-277,4.10.1,119,UX1995,NC8248-1/NC08-23383,+,277,85,103,1
2021,Raleigh,R21-SRils-278,4.10.2,116,UX1995,NC8248-1/NC08-23383,+,278,85,106,1
2021,Raleigh,R21-SRils-279,4.10.3,141,UX1995,NC8248-1/NC08-23383,+,279,75,107,1
2021,Raleigh,R21-SRils-280,4.10.4,142,UX1995,NC8248-1/NC08-23383,+,280,105,101,1
2021,Raleigh,R21-SRils-281,4.11.1,20,UX1995,NC8248-1/NC08-23383,-,281,70,103,0
2021,Raleigh,R21-SRils-282,4.11.2,146,UX1995,NC8248-1/NC08-23383,+,282,90,107,1
2021,Raleigh,R21-SRils-283,4.11.3,10,UX1995,NC8248-1/NC08-23383,+,283,85,103,1
2021,Raleigh,R21-SRils-284,4.11.4,122,UX1995,NC8248-1/NC08-23383,-,284,70,107,0
2021,Raleigh,R21-SRils-285,4.12.1,123,UX1995,NC8248-1/NC08-23383,+,285,75,107,1
2021,Raleigh,R21-SRils-286,4.12.2,149,UX1995,NC8248-1/NC08-23383,+,286,80,108,1
2021,Raleigh,R21-SRils-287,4.12.3,125,UX1995,NC8248-1/NC08-23383,+,287,85,103,1
2021,Raleigh,R21-SRils-288,4.12.4,124,UX1995,NC8248-1/NC08-23383,+,288,90,108,1
2021,Raleigh,R21-SRils-289,4.13.1,127,UX1995,NC8248-1/NC08-23383,-,289,80,111,0
2021,Raleigh,R21-SRils-290,4.13.2,8,UX1995,NC8248-1/NC08-23383,-,290,80,104,0
2021,Raleigh,R21-SRils-291,4.13.3,121,UX1995,NC8248-1/NC08-23383,+,291,80,108,1
2021,Raleigh,R21-SRils-292,4.13.4,126,UX1995,NC8248-1/NC08-23383,+,292,80,110,1
2021,Raleigh,R21-SRils-293,4.14.1,129,UX1995,NC8248-1/NC08-23383,-,293,75,110,0
2021,Raleigh,R21-SRils-294,4.14.2,130,UX1995,NC8248-1/NC08-23383,+,294,80,108,1
2021,Raleigh,R21-SRils-295,4.14.3,147,UX1995,NC8248-1/NC08-23383,+,295,90,99,1
2021,Raleigh,R21-SRils-296,4.14.4,132,UX1995,NC8248-1/NC08-23383,-,296,80,108,0
2021,Raleigh,R21-SRils-297,4.15.1,133,UX1995,NC8248-1/NC08-23383,+,297,80,108,1
2021,Raleigh,R21-SRils-298,4.15.2,134,UX1995,NC8248-1/NC08-23383,+,298,75,102,1
2021,Raleigh,R21-SRils-299,4.15.3,7,UX1995,NC8248-1/NC08-23383,-,299,85,104,0
2021,Raleigh,R21-SRils-300,4.15.4,144,UX1995,NC8248-1/NC08-23383,-,300,70,108,0
2021,Raleigh,R21-SRils-301,4.16.1,139,UX1995,NC8248-1/NC08-23383,-,301,85,104,0
2021,Raleigh,R21-SRils-302,4.16.2,131,UX1995,NC8248-1/NC08-23383,+,302,85,101,1
2021,Raleigh,R21-SRils-303,4.16.3,165,UX1995,NC8248-1/NC08-23383,+,303,95,107,1
2021,Raleigh,R21-SRils-304,4.16.4,128,UX1995,NC8248-1/NC08-23383,-,304,70,104,0
2021,Raleigh,R21-SRils-305,4.17.1,164,UX1995,NC8248-1/NC08-23383,+,305,85,104,1
2021,Raleigh,R21-SRils-306,4.17.2,137,UX1995,NC8248-1/NC08-23383,-,306,85,106,Mix
