,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-594,UX1992,GA06493-13LE6/HILLIARD,8.9.2,UX1992-81,+,.,594,1,4/14/2022,104,,,R,,,80,+
Kin22-SunRilHR-595,UX1992,GA06493-13LE6/HILLIARD,8.9.3,UX1992-119,+,.,595,2,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-596,UX1992,GA06493-13LE6/HILLIARD,8.9.4,UX1992-93,+,.,596,2,4/10/2022,100,,,R,,,75,+
Kin22-SunRilHR-597,UX1992,GA06493-13LE6/HILLIARD,8.10.1,UX1992-73,+,.,597,1,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-598,UX1992,GA06493-13LE6/HILLIARD,8.10.2,UX1992-102,+,.,598,1,4/12/2022,102,,,R,,,70,+
Kin22-SunRilHR-599,Parent,Parent,8.10.3,NC08-23383,-,R-2.1.2,599,2,4/12/2022,102,,,R,,,70,-
Kin22-SunRilHR-600,UX1992,GA06493-13LE6/HILLIARD,8.10.4,UX1992-34,+,.,600,2,4/12/2022,102,,,R,,,70,+
Kin22-SunRilHR-601,UX1992,GA06493-13LE6/HILLIARD,8.11.1,UX1992-54,+,.,601,2,4/14/2022,104,,,R,,,85,+
Kin22-SunRilHR-602,UX1992,GA06493-13LE6/HILLIARD,8.11.2,UX1992-74,+,.,602,1,4/15/2022,105,,,R,,,75,+
Kin22-SunRilHR-603,UX1992,GA06493-13LE6/HILLIARD,8.11.3,UX1992-162,+,.,603,2,4/12/2022,102,,,R,,,70,+
Kin22-SunRilHR-604,UX1992,GA06493-13LE6/HILLIARD,8.11.4,UX1992-63,+,.,604,1,4/13/2022,103,,,R,,,80,+
Kin22-SunRilHR-605,UX1992,GA06493-13LE6/HILLIARD,8.12.1,UX1992-48,+,.,605,2,4/14/2022,104,,,R,,,75,+
Kin22-SunRilHR-606,Parent,Parent,8.12.2,MPV57,-,R-12.10.1,606,1,4/21/2022,111,,,R,,,65,-
Kin22-SunRilHR-607,UX1992,GA06493-13LE6/HILLIARD,8.12.3,UX1992-117,+,.,607,1,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-608,UX1992,GA06493-13LE6/HILLIARD,8.12.4,UX1992-39,+,.,608,1,4/18/2022,108,,,R,,,80,+
Kin22-SunRilHR-609,UX1992,GA06493-13LE6/HILLIARD,8.13.1,UX1992-190,+,.,609,2,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-610,UX1992,GA06493-13LE6/HILLIARD,8.13.2,UX1992-137,+,.,610,2,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-611,UX1992,GA06493-13LE6/HILLIARD,8.13.3,UX1992-110,+,.,611,1,4/19/2022,109,,,R,,,80,+
Kin22-SunRilHR-612,UX1992,GA06493-13LE6/HILLIARD,8.13.4,UX1992-193,+,.,612,2,4/10/2022,100,,,R,,,80,+
Kin22-SunRilHR-613,UX1992,GA06493-13LE6/HILLIARD,8.14.1,UX1992-47,+,.,613,1,4/20/2022,110,,,R,,,75,+
Kin22-SunRilHR-614,UX1992,GA06493-13LE6/HILLIARD,8.14.2,UX1992-165,+,.,614,1,4/17/2022,107,,,R,,,80,+
Kin22-SunRilHR-615,Parent,Parent,8.14.3,AGS2000,+,VA-472,615,3,4/5/2022,95,,,R,,,85,+
Kin22-SunRilHR-616,UX1992,GA06493-13LE6/HILLIARD,8.14.4,UX1992-146,+,.,616,2,4/13/2022,103,,,R,,,90,+
Kin22-SunRilHR-617,UX1992,GA06493-13LE6/HILLIARD,8.15.1,UX1992-121,+,.,617,2,4/13/2022,103,,,R,,,70,+
Kin22-SunRilHR-618,UX1992,GA06493-13LE6/HILLIARD,8.15.2,UX1992-20,+,.,618,2,4/5/2022,95,,,R,,,70,+
Kin22-SunRilHR-619,UX1992,GA06493-13LE6/HILLIARD,8.15.3,UX1992-149,+,.,619,1,4/19/2022,109,,,R,,,75,+
Kin22-SunRilHR-620,Parent,Parent,8.15.4,ARGA051160-14LE31,-,VA-510,620,2,4/10/2022,100,,,R,,,75,+
Kin22-SunRilHR-621,UX1992,GA06493-13LE6/HILLIARD,8.16.1,UX1992-3,+,.,621,1,4/14/2022,104,,,R,,,65,+
Kin22-SunRilHR-622,UX1992,GA06493-13LE6/HILLIARD,8.16.2,UX1992-10,+,.,622,2,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-623,UX1992,GA06493-13LE6/HILLIARD,8.16.3,UX1992-9,+,.,623,1,4/15/2022,105,,,R,,,65,+
Kin22-SunRilHR-624,UX1992,GA06493-13LE6/HILLIARD,8.16.4,UX1992-49,+,.,624,2,4/12/2022,102,,,R,,,65,+
Kin22-SunRilHR-625,UX1992,GA06493-13LE6/HILLIARD,8.17.1,UX1992-160,+,.,625,2,4/18/2022,108,,,R,,,80,+
Kin22-SunRilHR-626,Parent,Parent,8.17.2,Hilliard,+,VA-307,626,2,4/14/2022,104,,,R,,,80,+
Kin22-SunRilHR-627,UX1992,GA06493-13LE6/HILLIARD,8.17.3,UX1992-170,+,.,627,2,4/8/2022,98,,,R,,,75,+
Kin22-SunRilHR-628,UX1992,GA06493-13LE6/HILLIARD,8.17.4,UX1992-174,+,.,628,2,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-629,UX1992,GA06493-13LE6/HILLIARD,8.18.1,UX1992-106,+,.,629,3,4/12/2022,102,,,R,,,70,+
Kin22-SunRilHR-630,UX1992,GA06493-13LE6/HILLIARD,8.18.2,UX1992-33,+,.,630,2,4/15/2022,105,,,R,,,75,+
Kin22-SunRilHR-631,UX1992,GA06493-13LE6/HILLIARD,8.18.3,UX1992-36,+,.,631,1,4/13/2022,103,,,R,,,70,+
Kin22-SunRilHR-632,UX1992,GA06493-13LE6/HILLIARD,8.18.4,UX1992-32,+,.,632,1,4/19/2022,109,,,R,,,65,+
Kin22-SunRilHR-633,UX1992,GA06493-13LE6/HILLIARD,8.19.1,UX1992-98,+,.,633,2,4/12/2022,102,,,R,,,75,+
Kin22-SunRilHR-634,UX1992,GA06493-13LE6/HILLIARD,8.19.2,UX1992-173,+,.,634,1,4/21/2022,111,,,R,,,75,+
Kin22-SunRilHR-635,UX1992,GA06493-13LE6/HILLIARD,8.19.3,UX1992-129,+,.,635,2,4/11/2022,101,,,R,,,80,+
Kin22-SunRilHR-636,Parent,Parent,8.19.4,SS8641,-,R-6.11.3,636,3,4/9/2022,99,,,R,,,75,-
Kin22-SunRilHR-637,UX1992,GA06493-13LE6/HILLIARD,8.20.1,UX1992-125,+,.,637,2,4/13/2022,103,,,R,,,85,+
Kin22-SunRilHR-638,UX1992,GA06493-13LE6/HILLIARD,8.20.2,UX1992-118,+,.,638,2,4/13/2022,103,,,R,,,75,+
Kin22-SunRilHR-639,Parent,Parent,8.20.3,GA06493-13LE6,+,R-14.18.2,639,2,4/12/2022,102,,,R,,,80,+
Kin22-SunRilHR-640,UX1992,GA06493-13LE6/HILLIARD,8.20.4,UX1992-167,+,.,640,2,4/12/2022,102,,,R,,,75,+
Kin22-SunRilHR-641,Marker,Marker,9.1.1,Barley,+,.,641,2,4/19/2022,109,score,,R,,,,+
Kin22-SunRilHR-642,UX1991,GA001138-8E36/GA06493-13LE6,9.1.2,UX1991-137,+,.,642,3,4/14/2022,104,,,R10,5,1,100,+
Kin22-SunRilHR-643,UX1991,GA001138-8E36/GA06493-13LE6,9.1.3,UX1991-129,+,.,643,3,4/10/2022,100,,,R,0,0,105,+
Kin22-SunRilHR-644,UX1991,GA001138-8E36/GA06493-13LE6,9.1.4,UX1991-99,+,.,644,3,4/10/2022,100,,,R,0,1,105,+
Kin22-SunRilHR-645,UX1991,GA001138-8E36/GA06493-13LE6,9.2.1,UX1991-139,+,.,645,2,4/13/2022,103,,,R,0,0,90,+
Kin22-SunRilHR-646,Parent,Parent,9.2.2,GA06493-13LE6,+,GA-81738,646,1,4/13/2022,103,,,R,0,0,85,+
Kin22-SunRilHR-647,UX1991,GA001138-8E36/GA06493-13LE6,9.2.3,UX1991-111,+,.,647,4,4/6/2022,96,,,R,0,0,80,+
Kin22-SunRilHR-648,UX1991,GA001138-8E36/GA06493-13LE6,9.2.4,UX1991-132,+,.,648,3,4/6/2022,96,,,R,R,0,70,+
Kin22-SunRilHR-649,UX1991,GA001138-8E36/GA06493-13LE6,9.3.1,UX1991-103,+,.,649,2,5/6/2022,126,,,R,0,1,95,+
Kin22-SunRilHR-650,UX1991,GA001138-8E36/GA06493-13LE6,9.3.2,UX1991-84,+,.,650,3,4/6/2022,96,,,R,,0,75,+
Kin22-SunRilHR-651,UX1991,GA001138-8E36/GA06493-13LE6,9.3.3,UX1991-92,+,.,651,2,4/15/2022,105,,,R,0,1,85,+
Kin22-SunRilHR-652,Parent,Parent,9.3.4,AGS2000,+,GA-18903,652,3,4/5/2022,95,,,R,0,1,85,+
Kin22-SunRilHR-653,UX1991,GA001138-8E36/GA06493-13LE6,9.4.1,UX1991-179,+,.,653,3,4/6/2022,96,,,R,10,1,75,+
Kin22-SunRilHR-654,UX1991,GA001138-8E36/GA06493-13LE6,9.4.2,UX1991-175,+,.,654,3,4/15/2022,105,,,R,0,0,90,+
Kin22-SunRilHR-655,UX1991,GA001138-8E36/GA06493-13LE6,9.4.3,UX1991-101,+,.,655,3,4/17/2022,107,,,R,0,0,90,+
Kin22-SunRilHR-656,UX1991,GA001138-8E36/GA06493-13LE6,9.4.4,UX1991-125,+,.,656,4,4/6/2022,96,,,R,0,1,80,+
Kin22-SunRilHR-657,UX1991,GA001138-8E36/GA06493-13LE6,9.5.1,UX1991-147,+,.,657,3,4/12/2022,102,,,R,0,0,90,+
Kin22-SunRilHR-658,UX1991,GA001138-8E36/GA06493-13LE6,9.5.2,UX1991-97,+,.,658,3,4/14/2022,104,,,R,0,0,85,+
Kin22-SunRilHR-659,UX1991,GA001138-8E36/GA06493-13LE6,9.5.3,UX1991-124,+,.,659,3,4/10/2022,100,,,R,0,0,85,+
Kin22-SunRilHR-660,Parent,Parent,9.5.4,SS8641,-,R-7.1.3,660,3,4/7/2022,97,,,R,0,0,85,-
Kin22-SunRilHR-661,UX1991,GA001138-8E36/GA06493-13LE6,9.6.1,UX1991-169,+,.,661,3,5/1/2022,121,,,R,0,1,95,+
Kin22-SunRilHR-662,Parent,Parent,9.6.2,GA001138-8E36,+,VA-37,662,4,4/11/2022,101,,,R,0,0,85,+
Kin22-SunRilHR-663,UX1991,GA001138-8E36/GA06493-13LE6,9.6.3,UX1991-174,+,.,663,3,4/18/2022,108,,,R,0,0,90,+
Kin22-SunRilHR-664,UX1991,GA001138-8E36/GA06493-13LE6,9.6.4,UX1991-86,+,.,664,3,4/10/2022,100,,,R,0,0,85,+
Kin22-SunRilHR-665,UX1991,GA001138-8E36/GA06493-13LE6,9.7.1,UX1991-200,+,.,665,3,4/15/2022,105,,,R10,20,,80,+
Kin22-SunRilHR-666,UX1991,GA001138-8E36/GA06493-13LE6,9.7.2,UX1991-152,+,.,666,1,4/19/2022,109,,,R,0,,90,+
Kin22-SunRilHR-667,UX1991,GA001138-8E36/GA06493-13LE6,9.7.3,UX1991-204,+,.,667,2,4/16/2022,106,,,R,0,,90,+
Kin22-SunRilHR-668,UX1991,GA001138-8E36/GA06493-13LE6,9.7.4,UX1991-109,+,.,668,3,4/6/2022,96,,,R,0,,85,+
Kin22-SunRilHR-669,UX1991,GA001138-8E36/GA06493-13LE6,9.8.1,UX1991-134,+,.,669,2,4/20/2022,110,,,R,0,,90,+
Kin22-SunRilHR-670,UX1991,GA001138-8E36/GA06493-13LE6,9.8.2,UX1991-144,+,.,670,4,4/8/2022,98,,,R,0,,95,+
Kin22-SunRilHR-671,Parent,Parent,9.8.3,LA09264C-P2,+,R-8.1.3,671,4,3/29/2022,88,,,S,15,,70,+
Kin22-SunRilHR-672,UX1991,GA001138-8E36/GA06493-13LE6,9.8.4,UX1991-113,+,.,672,3,4/4/2022,94,,,R,0,,70,+
Kin22-SunRilHR-673,UX1991,GA001138-8E36/GA06493-13LE6,9.9.1,UX1991-148,+,.,673,2,5/2/2022,122,,,R,0,,100,+
Kin22-SunRilHR-674,Parent,Parent,9.9.2,MPV57,-,R-14.18.3,674,1,4/24/2022,114,,,R,15,,70,-
Kin22-SunRilHR-675,UX1991,GA001138-8E36/GA06493-13LE6,9.9.3,UX1991-115,+,.,675,2,4/15/2022,105,,,R,,,95,+
Kin22-SunRilHR-676,UX1991,GA001138-8E36/GA06493-13LE6,9.9.4,UX1991-171,+,.,676,3,4/6/2022,96,,,R,10,,85,+
Kin22-SunRilHR-677,UX1991,GA001138-8E36/GA06493-13LE6,9.10.1,UX1991-170,+,.,677,2,4/17/2022,107,,,R,0,,90,+
Kin22-SunRilHR-678,UX1991,GA001138-8E36/GA06493-13LE6,9.10.2,UX1991-100,+,.,678,3,4/14/2022,104,,,R,0,,100,+
Kin22-SunRilHR-679,UX1991,GA001138-8E36/GA06493-13LE6,9.10.3,UX1991-111,+,.,679,3,4/10/2022,100,,,R,0,,95,+
Kin22-SunRilHR-680,UX1991,GA001138-8E36/GA06493-13LE6,9.10.4,UX1991-91,+,.,680,3,4/11/2022,101,,,R,0,,85,+
Kin22-SunRilHR-681,UX1991,GA001138-8E36/GA06493-13LE6,9.11.1,UX1991-89,+,.,681,3,4/14/2022,104,,,R,0,,85,+
Kin22-SunRilHR-682,UX1991,GA001138-8E36/GA06493-13LE6,9.11.2,UX1991-131,+,.,682,3,4/11/2022,101,,,R,0,,90,+
Kin22-SunRilHR-683,UX1991,GA001138-8E36/GA06493-13LE6,9.11.3,UX1991-145,+,.,683,2,4/18/2022,108,,,R20,0,,90,+
Kin22-SunRilHR-684,Parent,Parent,9.11.4,GA05450-EL52,+,R-10.1.2,684,3,4/5/2022,95,,,R10,10,,75,+
Kin22-SunRilHR-685,UX1991,GA001138-8E36/GA06493-13LE6,9.12.1,UX1991-166,+,.,685,2,4/20/2022,110,,,R,0,,90,+
Kin22-SunRilHR-686,Parent,Parent,9.12.2,ARGA051160-14LE31,-,GA-81930,686,2,4/10/2022,100,,,R,0,,85,-
Kin22-SunRilHR-687,UX1991,GA001138-8E36/GA06493-13LE6,9.12.3,UX1991-117,+,.,687,2,4/10/2022,100,,,R,0,,80,+
Kin22-SunRilHR-688,UX1991,GA001138-8E36/GA06493-13LE6,9.12.4,UX1991-93,+,.,688,2,4/21/2022,111,,,R,0,,85,+
Kin22-SunRilHR-689,UX1991,GA001138-8E36/GA06493-13LE6,9.13.1,UX1991-87,+,.,689,3,4/8/2022,98,,,R,0,,80,+
Kin22-SunRilHR-690,UX1991,GA001138-8E36/GA06493-13LE6,9.13.2,UX1991-85,+,.,690,1,4/10/2022,100,,,R,0,,80,+
Kin22-SunRilHR-691,UX1991,GA001138-8E36/GA06493-13LE6,9.13.3,UX1991-203,+,.,691,2,5/2/2022,122,,,R,0,,90,+
Kin22-SunRilHR-692,UX1991,GA001138-8E36/GA06493-13LE6,9.13.4,UX1991-202,+,.,692,4,4/1/2022,91,,,R,0,,70,+
Kin22-SunRilHR-693,UX1991,GA001138-8E36/GA06493-13LE6,9.14.1,UX1991-143,+,.,693,3,4/15/2022,105,,,R,0,,90,+
Kin22-SunRilHR-694,UX1991,GA001138-8E36/GA06493-13LE6,9.14.2,UX1991-142,+,.,694,3,4/7/2022,97,,,R,25,,85,+
Kin22-SunRilHR-695,Parent,Parent,9.14.3,TX12D4896,+,R-19.1.4,695,3,4/8/2022,98,,,R,0,,82,+
Kin22-SunRilHR-696,UX1991,GA001138-8E36/GA06493-13LE6,9.14.4,UX1991-178,+,.,696,2,4/30/2022,120,,,R,0,,105,+
Kin22-SunRilHR-697,Parent,Parent,9.15.1,GA00190-7A14,+,VA-368,697,2,4/9/2022,99,,,R30,30,,75,+
Kin22-SunRilHR-698,UX1991,GA001138-8E36/GA06493-13LE6,9.15.2,UX1991-114,+,.,698,3,4/7/2022,97,,,R,0,,75,+
Kin22-SunRilHR-699,UX1991,GA001138-8E36/GA06493-13LE6,9.15.3,UX1991-98,+,.,699,3,4/4/2022,94,,,R,0,,85,+
Kin22-SunRilHR-700,UX1991,GA001138-8E36/GA06493-13LE6,9.15.4,UX1991-155,+,.,700,4,3/31/2022,90,,,R,0,,70,+
Kin22-SunRilHR-701,UX1991,GA001138-8E36/GA06493-13LE6,9.16.1,UX1991-160,+,.,701,2,4/5/2022,95,,,R,0,,80,+
Kin22-SunRilHR-702,Parent,Parent,9.16.2,NC08-23383,-,VA-91,702,1,4/13/2022,103,,,R,0,,75,-
Kin22-SunRilHR-703,UX1991,GA001138-8E36/GA06493-13LE6,9.16.3,UX1991-159,+,.,703,2,4/14/2022,104,,,R,0,,85,+
Kin22-SunRilHR-704,UX1991,GA001138-8E36/GA06493-13LE6,9.16.4,UX1991-158,+,.,704,2,4/15/2022,105,,,R,0,,75,+
Kin22-SunRilHR-705,UX1991,GA001138-8E36/GA06493-13LE6,9.17.1,UX1991-122,+,.,705,2,4/14/2022,104,,,R,,,90,+
Kin22-SunRilHR-706,UX1991,GA001138-8E36/GA06493-13LE6,9.17.2,UX1991-180,+,.,706,2,4/15/2022,105,,,R,0,,95,+
Kin22-SunRilHR-707,UX1991,GA001138-8E36/GA06493-13LE6,9.17.3,UX1991-165,+,.,707,2,5/1/2022,121,,,R,0,,100,+
Kin22-SunRilHR-708,UX1991,GA001138-8E36/GA06493-13LE6,9.17.4,UX1991-153,+,.,708,2,4/13/2022,103,,,R,,,85,+
Kin22-SunRilHR-709,Parent,Parent,9.18.1,Hilliard,+,VA-36,709,1,4/12/2022,102,,,R,R,,70,+
Kin22-SunRilHR-710,UX1991,GA001138-8E36/GA06493-13LE6,9.18.2,UX1991-90,+,.,710,1,4/14/2022,104,,,R,R,,80,+
Kin22-SunRilHR-711,UX1991,GA001138-8E36/GA06493-13LE6,9.18.3,UX1991-201,+,.,711,2,4/7/2022,97,,,R,10,,75,+
Kin22-SunRilHR-712,UX1991,GA001138-8E36/GA06493-13LE6,9.18.4,UX1991-173,+,.,712,2,5/2/2022,122,,,R,40,,75,+
Kin22-SunRilHR-713,UX1991,GA001138-8E36/GA06493-13LE6,9.19.1,UX1991-95,+,.,713,2,4/11/2022,101,,,R10,0,,80,+
Kin22-SunRilHR-714,UX1991,GA001138-8E36/GA06493-13LE6,9.19.2,UX1991-110,+,.,714,2,4/21/2022,111,,,R,25,,100,+
Kin22-SunRilHR-715,UX1991,GA001138-8E36/GA06493-13LE6,9.19.3,UX1991-141,+,.,715,2,5/1/2022,121,,,R,0,,95,+
Kin22-SunRilHR-716,Parent,Parent,9.19.4,NC8248-1,+,R-5.1.4,716,3,4/2/2022,92,,,S,15,,75,+
Kin22-SunRilHR-717,UX1991,GA001138-8E36/GA06493-13LE6,9.20.1,UX1991-156,+,.,717,3,4/14/2022,104,,,R,0,,95,+
Kin22-SunRilHR-718,UX1991,GA001138-8E36/GA06493-13LE6,9.20.2,UX1991-149,+,.,718,3,4/15/2022,105,,,R20,25,,85,+
Kin22-SunRilHR-719,UX1991,GA001138-8E36/GA06493-13LE6,9.20.3,UX1991-146,+,.,719,3,4/10/2022,100,,,R,0,,90,+
Kin22-SunRilHR-720,UX1991,GA001138-8E36/GA06493-13LE6,9.20.4,UX1991-151,+,.,720,4,3/30/2022,89,,,R,0,,85,+
Kin22-SunRilHR-721,Marker,Marker,10.1.1,Barley,+,.,721,1,4/21/2022,111,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-721_picture_1_2022-03-28-11-49-19.jpg,R,95:RR,,,+
Kin22-SunRilHR-722,UX1997,LA09264C-P2/NC08-23383,10.1.2,UX1997-18,-,.,722,2,4/8/2022,98,,,R,,2,85,-
Kin22-SunRilHR-723,UX1997,LA09264C-P2/NC08-23383,10.1.3,UX1997-63,-,.,723,1,4/14/2022,104,,,R,,0,80,-
Kin22-SunRilHR-724,UX1997,LA09264C-P2/NC08-23383,10.1.4,UX1997-54,+,.,724,3,4/6/2022,96,,,R,,0,80,+
Kin22-SunRilHR-725,UX1997,LA09264C-P2/NC08-23383,10.2.1,UX1997-62,+,.,725,2,4/10/2022,100,,,R,,1,85,+
Kin22-SunRilHR-726,UX1997,LA09264C-P2/NC08-23383,10.2.2,UX1997-102,-,.,726,2,4/13/2022,103,,,S,,2,90,-
Kin22-SunRilHR-727,UX1997,LA09264C-P2/NC08-23383,10.2.3,UX1997-34,+,.,727,2,4/6/2022,96,,,R,,0,85,+
Kin22-SunRilHR-728,Parent,Parent,10.2.4,NC08-23383,-,VA-91,728,1,4/13/2022,103,,,R,,0,75,-
Kin22-SunRilHR-729,UX1997,LA09264C-P2/NC08-23383,10.3.1,UX1997-53,-,.,729,2,4/15/2022,105,,,R,,1,80,-
Kin22-SunRilHR-730,Parent,Parent,10.3.2,MPV57,-,R-14.18.3,730,1,4/14/2022,104,,,R,,0,75,-
Kin22-SunRilHR-731,UX1997,LA09264C-P2/NC08-23383,10.3.3,UX1997-69,+,.,731,4,3/26/2022,85,,,R,,0,70,+
Kin22-SunRilHR-732,UX1997,LA09264C-P2/NC08-23383,10.3.4,UX1997-9,+,.,732,2,5/2/2022,122,,,R,,0,85,+
Kin22-SunRilHR-733,Parent,Parent,10.4.1,NC8248-1,+,R-5.1.4,733,3,4/1/2022,91,,,R,,1,80,+
Kin22-SunRilHR-734,UX1997,LA09264C-P2/NC08-23383,10.4.2,UX1997-32,+,.,734,2,4/14/2022,104,,,R,,0,90,+
Kin22-SunRilHR-735,UX1997,LA09264C-P2/NC08-23383,10.4.3,UX1997-90,+,.,735,1,4/13/2022,103,,,R,,1,85,+
Kin22-SunRilHR-736,UX1997,LA09264C-P2/NC08-23383,10.4.4,UX1997-56,+,.,736,4,3/28/2022,87,,,S,,1,80,+
Kin22-SunRilHR-737,UX1997,LA09264C-P2/NC08-23383,10.5.1,UX1997-89,+,.,737,2,4/15/2022,105,,,R,,1,75,+
Kin22-SunRilHR-738,UX1997,LA09264C-P2/NC08-23383,10.5.2,UX1997-52,-,.,738,2,4/13/2022,103,,,R,,0,75,-
Kin22-SunRilHR-739,Parent,Parent,10.5.3,AGS2000,+,GA-81903,739,3,4/2/2022,92,,,R,,1,80,+
Kin22-SunRilHR-740,UX1997,LA09264C-P2/NC08-23383,10.5.4,UX1997-8,+,.,740,4,3/30/2022,89,,,S,,1,80,+
Kin22-SunRilHR-741,UX1997,LA09264C-P2/NC08-23383,10.6.1,UX1997-81,+,.,741,4,3/31/2022,90,,,R,,1,75,+
Kin22-SunRilHR-742,UX1997,LA09264C-P2/NC08-23383,10.6.2,UX1997-29,+,.,742,4,3/26/2022,85,,,30,,0,70,+
Kin22-SunRilHR-743,UX1997,LA09264C-P2/NC08-23383,10.6.3,UX1997-87,+,.,743,3,4/6/2022,96,,,R,,1,75,+
Kin22-SunRilHR-744,Parent,Parent,10.6.4,GA00190-7A14,+,VA-368,744,3,4/7/2022,97,,,R,,1,80,+
Kin22-SunRilHR-745,UX1997,LA09264C-P2/NC08-23383,10.7.1,UX1997-17,-,.,745,2,4/14/2022,104,,,R,,2,75,-
Kin22-SunRilHR-746,Parent,Parent,10.7.2,GA05450-EL52,+,R-10.1.2,746,2,4/7/2022,97,,,R,,3,80,+
Kin22-SunRilHR-747,UX1997,LA09264C-P2/NC08-23383,10.7.3,UX1997-51,-,.,747,3,4/5/2022,95,,,S,,1,95,-
Kin22-SunRilHR-748,UX1997,LA09264C-P2/NC08-23383,10.7.4,UX1997-55,-,.,748,3,4/2/2022,92,,,R10,,2,85,-
Kin22-SunRilHR-749,UX1997,LA09264C-P2/NC08-23383,10.8.1,UX1997-70,+,.,749,2,4/7/2022,97,,,R,,3,70,+
Kin22-SunRilHR-750,UX1997,LA09264C-P2/NC08-23383,10.8.2,UX1997-85,-,.,750,3,4/2/2022,92,,,R,,2,70,-
Kin22-SunRilHR-751,UX1997,LA09264C-P2/NC08-23383,10.8.3,UX1997-99,-,.,751,4,3/29/2022,88,,,R,,4,80,-
Kin22-SunRilHR-752,UX1997,LA09264C-P2/NC08-23383,10.8.4,UX1997-10,+,.,752,4,4/4/2022,94,,,R,,1,85,-
Kin22-SunRilHR-753,UX1997,LA09264C-P2/NC08-23383,10.9.1,UX1997-101,+,.,753,2,4/14/2022,104,,,R,,3,75,+
Kin22-SunRilHR-754,UX1997,LA09264C-P2/NC08-23383,10.9.2,UX1997-61,-,.,754,3,4/2/2022,92,,,R,,3,85,-
Kin22-SunRilHR-755,UX1997,LA09264C-P2/NC08-23383,10.9.3,UX1997-26,-,.,755,3,4/5/2022,95,,,R,,0,75,-
Kin22-SunRilHR-756,Parent,Parent,10.9.4,GA001138-8E36,+,VA-37,756,3,4/11/2022,101,,,R,,1,90,+
Kin22-SunRilHR-757,UX1997,LA09264C-P2/NC08-23383,10.10.1,UX1997-27,+,.,757,2,4/7/2022,97,,,R,,1,85,+
Kin22-SunRilHR-758,Parent,Parent,10.10.2,TX12D4896,+,R-19.1.4,758,2,4/8/2022,98,,,R,,2,80,+
Kin22-SunRilHR-759,UX1997,LA09264C-P2/NC08-23383,10.10.3,UX1997-94,+,.,759,1,4/15/2022,105,,,R,,0,85,+
Kin22-SunRilHR-760,UX1997,LA09264C-P2/NC08-23383,10.10.4,UX1997-68,+,.,760,4,4/3/2022,93,,,20,,3,80,+
Kin22-SunRilHR-761,Parent,Parent,10.11.1,Hilliard,+,VA-36,761,1,4/13/2022,103,,,R,,1,75,+
Kin22-SunRilHR-762,UX1997,LA09264C-P2/NC08-23383,10.11.2,UX1997-60,+,.,762,3,4/7/2022,97,,,R,,2,75,+
Kin22-SunRilHR-763,UX1997,LA09264C-P2/NC08-23383,10.11.3,UX1997-77,-,.,763,3,4/6/2022,96,,,R,,0,85,-
Kin22-SunRilHR-764,UX1997,LA09264C-P2/NC08-23383,10.11.4,UX1997-15,-,.,764,2,4/6/2022,96,,,R,,1,90,mixed
Kin22-SunRilHR-765,UX1997,LA09264C-P2/NC08-23383,10.12.1,UX1997-5,-,.,765,3,3/28/2022,87,,,R10,,1,80,-
Kin22-SunRilHR-766,UX1997,LA09264C-P2/NC08-23383,10.12.2,UX1997-91,+,.,766,3,4/2/2022,92,,,R,,2,80,+
Kin22-SunRilHR-767,UX1997,LA09264C-P2/NC08-23383,10.12.3,UX1997-59,-,.,767,3,3/29/2022,88,,,R10,,3,75,-
Kin22-SunRilHR-768,UX1997,LA09264C-P2/NC08-23383,10.12.4,UX1997-71,-,.,768,1,4/14/2022,104,,,R,,1,85,-
Kin22-SunRilHR-769,UX1997,LA09264C-P2/NC08-23383,10.13.1,UX1997-64,+,.,769,1,4/17/2022,107,,,R,,3,85,+
Kin22-SunRilHR-770,UX1997,LA09264C-P2/NC08-23383,10.13.2,UX1997-14,+,.,770,2,4/6/2022,96,,,S,,1,85,+
Kin22-SunRilHR-771,Parent,Parent,10.13.3,SS8641,-,R-7.1.3,771,1,4/11/2022,101,,,R,,0,95,-
Kin22-SunRilHR-772,UX1997,LA09264C-P2/NC08-23383,10.13.4,UX1997-78,+,.,772,4,3/30/2022,89,,,30,,3,85,+
Kin22-SunRilHR-773,UX1997,LA09264C-P2/NC08-23383,10.14.1,UX1997-86,+,.,773,1,4/13/2022,103,,,S,,0,75,+
Kin22-SunRilHR-774,UX1997,LA09264C-P2/NC08-23383,10.14.2,UX1997-58,-,.,774,3,3/28/2022,87,,,R20,,1,85,-
Kin22-SunRilHR-775,Parent,Parent,10.14.3,ARGA051160-14LE31,+,GA-81930,775,1,4/11/2022,101,,,R,,2,90,-
Kin22-SunRilHR-776,UX1997,LA09264C-P2/NC08-23383,10.14.4,UX1997-25,+,.,776,4,3/29/2022,88,,,S,,2,85,+
