"Entry","Awns","WDR","Powdery_mildew","SNB","Height","Rust","ave_SpS","ave_infert","WeightOf1000Particles","SampleAreaAverage","WKAreaMedian","days_to_head","seeds_per_spikelet"
"UX1992-135",1,1,0,4,90,NA,19.6,1.6,37.849,15.208,16.266,161,3.11224489795918
"UX1992-137",1,2,2,4,75,NA,17.16667,2.8333333,31.045,13.083,13.399,160,2.61164997832039
"UX1992-140",1,2,3,4,90,NA,17.66667,2,31.356,12.291,13.735,159,3.13207488074059
"UX1992-144",1,3,0,3,80,NA,18,2.6666667,30.169,12.608,13.632,159,2.61111111111111
"UX1992-146",1,3,0,2,90,NA,16.16667,3.1666667,37.007,14.237,15.061,161,3.06185503879278
"UX1992-147",1,2,0,4,85,NA,19.8,3,33.998,13.586,14.08,160,3
"UX1992-149",1,1,4,4,80,NA,20,3.1666667,30.032,12.118,12.76,167,3
"UX1992-153",1,1,4,4,90,NA,19.5,2.6666667,33.49,13.437,14.086,161,2.77777777777778
"UX1992-154",1,1,0,4,95,NA,20.8,1.8,40.082,15.513,15.865,165,3.03846153846154
"UX1992-157",1,3,2,5,90,NA,19.4,1.6,34.694,14.206,15.042,165,3.12371134020619
"UX1992-159",1,1,2,4,80,NA,19.33333,1.8333333,30.95,13.155,13.889,161,2.8275866944115
"UX1992-160",1,2,0,4,80,NA,19.16667,2.6666667,30.586,13.225,13.779,161,3.32173855274112
"UX1992-161",1,3,1,3,90,NA,20.16667,2.5,34.614,14.608,15.19,160,2.85950365958617
"UX1992-162",1,3,0,3,80,NA,20,2.2,33.163,13.786,14.259,160,3.31
"UX1992-163",1,3,3,NA,75,NA,17,2,31.54,13.369,13.636,159,2.54901960784314
"UX1992-165",1,1,2,2,80,NA,18.5,1.8333333,34.431,13.534,14.548,164,2.85585585585586
"UX1992-166",1,3,1,5,80,NA,17.8,3,34.056,13.837,14.454,160,2.67415730337079
"UX1992-167",1,3,0,5,80,NA,17.5,2,35.177,14.135,15.446,161,3.32380952380952
"UX1992-170",1,3,0,2,85,NA,18.83333,2.6666667,32.26,13.502,14.057,157,2.69026596287893
"UX1992-171",1,3,1,4,75,NA,18.33333,0.6666667,32.776,14.282,15.181,157,2.96363690247944
"UX1992-173",1,2,0,2,85,NA,17,2.2,38.365,14.092,15.432,159,2.84705882352941
"UX1992-174",1,2,4,5,80,NA,16,3.5,30.733,12.785,13.179,160,2.42708333333333
"UX1992-175",1,2,1,3,85,NA,18.33333,2.6666667,35.916,14.064,14.548,162,2.82727324132241
"UX1992-180",1,2,1,4,80,NA,18.5,2.1666667,33.264,13.92,14.691,162,3.17117117117117
"UX1992-181",1,3,4,NA,75,NA,19,2,29.768,13.078,13.686,159,3.20175438596491
"UX1992-182",1,2,4,NA,90,NA,18.8,4.2,27.805,11.88,12.166,164,2.58510638297872
"UX1992-190",1,2,2,3,80,NA,16.66667,2.6666667,31.647,13.583,14.231,161,2.5299994940001
"UX1992-193",1,3,4,4,85,NA,19.5,2,34.4,13.585,14.972,159,2.79487179487179
"UX1992-194",1,1,0,3,75,NA,19.4,1.6,35.651,14.084,15.363,166,3.06185567010309
"UX1992-195",1,3,1,4,90,NA,19,2,32.763,13.748,14.5,159,3.35789473684211
"UX1992-196",1,3,1,5,85,NA,17.4,2.8,31.262,12.8,13.14,161,2.93103448275862
"UX1992-197",1,2,3,6,85,NA,18.16667,1.6666667,38.313,14.601,15.223,158,3.13761410319007
"UX1992-20",1,3,2,5,85,NA,17.5,2.5,35.354,14.184,15.136,157,3.13333333333333
"UX1992-201",1,3,3,NA,85,NA,16,2.2,38.627,14.879,15.108,164,2.95
"UX1992-203",1,2,2,2,90,NA,18.2,3.4,34.802,13.473,13.482,161,2.49450549450549
"UX1992-207",1,3,0,5,65,NA,18.66667,1.6666667,28.92,12.537,13.162,160,3.21428514030623
"UX1992-217",1,2,2,5,100,NA,19.8,2.6,39.692,14.929,15.499,165,2.4040404040404
"UX1992-218",1,4,0,4,90,NA,17.2,2,34.11,14.117,14.438,163,3.43023255813954
"UX1992-219",1,3,0,4,90,NA,18,2.4,34.176,12.966,14.846,163,3.45555555555556
"UX1992-22",1,2,3,5,90,NA,17.8,4,30.439,12.647,12.835,166,2
"UX1992-222",1,3,0,6,80,NA,21.4,1,33.359,13.85,14.413,161,3.45794392523365
"UX1992-223",1,2,0,5,80,NA,17.8,2.6,33.385,13.84,14.231,163,2.80898876404494
"UX1992-224",1,2,0,4,90,NA,17.8,2.8,39.502,15.043,15.978,160,2.76404494382022
"UX1992-225",1,3,1,4,85,NA,18.8,2,36.355,14.405,14.677,161,2.80851063829787
"UX1992-226",1,4,2,5,90,NA,16.8,3.8,32.143,13.24,13.14,159,2.01190476190476
"UX1992-228",1,2,0,6,80,NA,19,1.6,32.551,13.495,14.432,164,2.97894736842105
"UX1992-231",1,2,1,4,95,NA,16.2,2.4,37.49,13.941,15.552,163,2.69135802469136
"UX1992-232",1,4,2,4,90,NA,19.8,2.4,32.665,13.651,14.114,160,3.18181818181818
"UX1992-239",1,4,NA,4,75,NA,19,1.4,35.977,14.018,14.948,164,3.74736842105263
"UX1992-24",1,3,2,3,80,NA,20.66667,1.8333333,33.253,13.694,14.32,160,2.88709630853285
"UX1992-241",1,3,0,3,75,NA,17,1.8,35.145,13.604,13.966,157,2.81176470588235
"UX1992-242",1,2,0,4,85,NA,20.2,2,39.916,15.169,15.945,165,3.23762376237624
"UX1992-275",1,2,0,5,75,NA,20.8,3.2,27.503,12.313,12.773,163,2.93269230769231
"UX1992-276",1,2,0,5,95,NA,19.8,3.4,40.387,15.284,16.005,166,2.74747474747475
"UX1992-281",1,1,0,4,90,NA,22.2,1.6,43.118,15.388,16.517,163,3.20720720720721
"UX1992-282",1,3,2,5,75,NA,20.4,1.4,28.986,12.568,13.116,159,3.25490196078431
"UX1992-286",1,3,1,5,80,NA,20,1.4,31.599,13.446,14.082,159,3.19
"UX1992-287",1,2,2,5,90,NA,17.8,3,39.855,14.876,15.66,163,2.42696629213483
"UX1992-289",1,2,2,6,70,NA,19.8,2,28.43,11.883,12.737,161,3.14141414141414
"UX1992-29",1,3,0,4,85,NA,19.16667,1.8333333,33.219,14.016,14.297,161,2.72173865708893
"UX1992-292",1,2,2,5,90,NA,19.4,1.8,29.762,12.334,12.845,159,2.88659793814433
"UX1992-293",1,2,0,5,85,NA,21.4,0.8,43.555,16.423,17.183,161,3.32710280373832
"UX1992-295",1,2,1,4,70,NA,21,1,38.057,14.857,15.424,160,3.32380952380952
"UX1992-296",1,2,0,4,90,NA,22.8,1.8,37.379,14.741,15.337,164,3.23684210526316
"UX1992-3",1,1,0,6,80,NA,21.16667,3,26.813,11.752,12.278,162,2.83464522289052
"UX1992-302",1,2,3,NA,75,NA,20,2,33.226,13.653,14.13,159,2.77
"UX1992-303",1,3,0,4,75,NA,19.8,1.8,27.998,12.261,12.975,164,3.11111111111111
"UX1992-306",1,1,3,4,85,NA,22.4,2.6,33.404,13.309,13.693,166,3.19642857142857
"UX1992-308",1,4,4,4,85,NA,15.2,3.2,34.997,13.328,15.142,163,2.94736842105263
"UX1992-310",1,2,0,5,100,NA,17.6,2.6,37.407,14.535,15.815,163,3.07954545454545
"UX1992-312",1,1,4,5,85,NA,18,2.4,41.304,15.576,16.38,167,3.06666666666667
"UX1992-314",1,1,0,4,75,NA,17.8,2.8,34.688,13.756,14.334,165,2.69662921348315
"UX1992-315",1,1,1,3,90,NA,20.8,2.6,32.294,13.068,13.803,168,2.91346153846154
"UX1992-317",1,1,0,4,95,NA,18.6,2.6,37.655,14.215,14.836,165,3.17204301075269
"UX1992-32",1,1,1,4,80,NA,20.16667,1.8333333,30.081,12.672,13.344,164,2.98347058124453
"UX1992-322",1,1,0,4,85,NA,20.8,2,34.863,14.136,14.506,165,3.25
"UX1992-323",1,2,0,4,90,NA,22.4,2,32.189,13.657,14.373,161,3.9375
"UX1992-327",1,3,1,4,90,NA,18,2,36.137,14.014,14.959,164,2.97777777777778
"UX1992-33",1,1,4,4,80,NA,20.5,1.6666667,30.761,13.345,13.681,165,2.72357723577236
"UX1992-331",1,3,0,5,80,NA,21.75,1.5,35.778,14.508,15.014,159,3.24137931034483
"UX1992-336",1,2,3,NA,70,NA,21,1.8,30.571,13.142,13.729,160,3.12380952380952
"UX1992-337",1,2,0,5,85,NA,19.6,1.6,34.812,14.111,14.631,165,2.72448979591837
"UX1992-34",1,3,4,6,85,NA,16.33333,2.3333333,32.093,13.688,14.245,158,3.14285778425669
"UX1992-35",1,3,4,2,80,NA,16.5,1.6666667,34.694,13.465,14.245,160,2.93939393939394
"UX1992-36",1,2,3,5,85,NA,20.33333,2,37.474,14.66,15.441,160,3.24590217145937
"UX1992-38",1,1,1,4,90,NA,19.8,0.6,40.197,15.237,16.282,163,3.41414141414141
"UX1992-39",1,2,0,4,80,NA,18.8,2,33.512,13.092,14.401,162,2.81914893617021
"UX1992-45",1,1,3,5,85,NA,20.4,3,33.407,13.453,14.188,165,2.90196078431373
"UX1992-48",1,2,2,4,75,NA,18.16667,2.6666667,31.034,12.492,13.854,160,3.11926548270358
"UX1992-49",1,3,2,5,85,NA,19.16667,2,34.429,13.485,14.399,158,2.96521687561446
"UX1992-5",1,1,0,5,85,NA,20.16667,1.8333333,36.548,14.496,15.127,165,3.07437965712733
"UX1992-54",1,2,0,3,85,NA,18.5,2.6666667,27.359,11.381,12.066,160,2.77477477477477
"UX1992-55",1,3,0,4,90,NA,18,2,37.096,14.863,15.755,160,2.96666666666667
"UX1992-59",1,3,2,NA,70,NA,18.8,3.6,23.976,11.439,11.496,164,2.4468085106383
"UX1992-6",1,2,0,4,90,NA,18.6,3.4,40.556,14.928,15.597,163,2.60215053763441
"UX1992-63",1,1,0,4,85,NA,18.83333,2,37.079,14.084,15.341,161,2.97345185370829
"UX1992-69",1,3,0,3,80,NA,17.83333,2,33.886,13.85,14.627,157,2.82243043409915
"UX1992-70",1,3,3,7,85,NA,18.2,4,29.664,12.207,12.622,167,2.69230769230769
"UX1992-72",1,2,0,3,90,NA,19,2.4,39.094,15.16,15.831,164,3.16842105263158
"UX1992-73",1,1,NA,3,80,NA,20.5,1.6666667,33.864,13.761,14.286,162,3.38211382113821
"UX1992-74",1,2,1,3,95,NA,21.33333,2.5,31.161,13.013,13.918,161,3.22656300415047
"UX1992-78",1,2,1,5,85,NA,18.2,4.2,36.531,14.101,14.647,161,2.7032967032967
"UX1992-80",1,1,0,4,80,NA,21.2,3,30.711,12.926,13.284,165,2.64150943396226
"UX1992-81",1,2,3,3,75,NA,20.5,2.5,31.158,12.915,13.542,161,2.5609756097561
"UX1992-82",1,1,0,4,80,NA,21.16667,2,32.374,13.598,14.218,165,2.88188930993869
"UX1992-87",1,1,1,4,85,NA,20.6,2.2,34.74,13.498,14.507,164,2.77669902912621
"UX1992-9",1,2,0,5,75,NA,17.83333,2.3333333,31.28,12.877,13.525,165,2.58878553061412
"UX1992-90",1,1,0,5,85,NA,19.83333,2,34.879,13.939,14.505,165,2.731092895982
"UX1992-93",1,2,1,4,80,NA,18.16667,2.3333333,28.472,12.298,13.233,160,3.02752238027112
"UX1992-98",1,2,0,4,90,NA,17.5,2.6666667,37.8,14.376,15.271,159,2.96190476190476
"UX1993-1",1,4,1,7,85,NA,20.6,0.8,35.566,13.812,14.594,157,3.45631067961165
"UX1993-10",1,3,2,5,95,NA,20.83333,1,28.849,12.171,12.475,159,3.13600050176008
"UX1993-100",1,4,2,5,80,NA,17.6,2,NA,NA,NA,154,NA
"UX1993-101",1,3,1,4,85,NA,18.2,1.4,33.672,11.724,14.63,159,4.43956043956044
"UX1993-102",1,3,NA,5,95,NA,19.2,0.8,37.786,15.119,15.864,156,3.16666666666667
"UX1993-103",1,3,NA,5,95,NA,19.6,1.4,36.022,13.633,13.839,163,1.91836734693878
"UX1993-104",1,2,NA,3,105,NA,22.4,2.4,34.483,13.383,13.86,174,2.07142857142857
"UX1993-105",1,3,NA,4,95,NA,19.4,2.2,31.888,12.078,12.75,158,3.14432989690722
"UX1993-106",1,3,NA,4,90,NA,18,1,31.629,12.203,12.632,157,3.28888888888889
"UX1993-112",1,3,NA,NA,70,NA,18,1.8,27.937,11.672,12.057,161,2.85555555555556
"UX1993-113",1,3,NA,4,85,NA,18.4,1,37.046,14.604,15.043,159,2.6195652173913
"UX1993-114",1,4,NA,6,90,NA,17.4,1,32.754,13.053,13.281,159,2.54022988505747
"UX1993-115",1,4,NA,5,80,NA,19.6,1.2,30.783,12.947,13.314,161,2.72448979591837
"UX1993-118",1,3,NA,4,95,NA,18.8,1.4,33.689,13.514,14.46,159,3.42553191489362
"UX1993-119",1,2,NA,NA,85,NA,19.6,1,29.493,12.86,13.17,157,3.21428571428571
"UX1993-122",1,2,NA,4,110,NA,18.8,1.8,37.706,14.289,14.971,158,3.18085106382979
"UX1993-127",1,1,NA,2,85,NA,22.4,2.2,33.144,13.067,13.945,176,3.53571428571429
"UX1993-131",1,3,NA,5,70,NA,19.2,1.6,36.756,14.252,14.888,160,2.96875
"UX1993-133",1,1,NA,4,100,NA,20.2,2.4,31.714,12.958,13.488,167,1.96039603960396
"UX1993-135",1,3,NA,6,80,NA,19.6,1.2,31.475,12.943,13.498,159,3.18367346938775
"UX1993-137",1,2,NA,4,85,NA,24,2.6,32.044,12.406,13.497,167,2.55833333333333
"UX1993-139",1,3,NA,5,80,NA,15.4,1.2,28.942,11.85,12.493,159,3.19480519480519
"UX1993-14",1,3,1,4,85,NA,19.83333,1.6666667,36.374,13.437,14.594,158,3.21848793588033
"UX1993-140",1,3,NA,5,85,NA,19,1.2,37.136,14.188,14.66,160,3.4
"UX1993-142",1,3,NA,6,85,NA,20.2,0.8,39.035,15.219,15.797,157,3.22772277227723
"UX1993-150",1,2,NA,3,90,NA,20.2,3,33.977,13.622,13.817,168,2.76237623762376
"UX1993-154",1,1,NA,4,85,NA,19.8,2,35.439,13.264,14.044,167,3.01010101010101
"UX1993-155",1,1,NA,3,95,NA,20.2,1.8,36.576,13.896,14.538,166,2.54455445544554
"UX1993-156",1,3,1,5,90,NA,17.33333,1.5,36.397,13.961,14.868,158,2.93269287167171
"UX1993-159",1,3,2,3,110,NA,17,3,36.394,13.29,14.152,165,2.92941176470588
"UX1993-16",1,4,2,3,100,NA,18.66667,0.6666667,37.595,14.854,15.368,161,3.40178510682409
"UX1993-161",1,2,1,4,90,NA,18.83333,1.6666667,34.494,13.379,13.854,159,2.79646067193994
"UX1993-163",1,1,2,3,90,NA,20.5,1.8333333,30.506,12.476,12.894,168,3.04878048780488
"UX1993-164",1,4,2,5,80,NA,17,2.6,28.986,12.616,12.821,154,2.43529411764706
"UX1993-17",1,3,3,4,100,NA,18.83333,2.1666667,41.666,15.432,16.259,161,2.78761111285152
"UX1993-170",1,1,0,3,95,NA,19.16667,2.1666667,36.727,14.076,14.547,169,2.73043430775056
"UX1993-172",1,3,1,6,90,NA,19.83333,2.1666667,33.865,13.689,14.217,157,2.7058828077114
"UX1993-173",1,3,2,5,90,NA,19.5,1.5,34.758,13.868,14.281,160,3.05128205128205
"UX1993-174",1,1,2,5,85,NA,19.4,1.8,30.766,13.068,13.585,162,2.22680412371134
"UX1993-175",1,3,1,4,100,NA,18.33333,2,35.499,14.351,15.141,159,3.2363642247935
"UX1993-177",1,3,0,6,90,NA,17.66667,1.5,34.153,13.479,14.445,156,3.38679181381287
"UX1993-18",1,3,2,5,95,NA,17,1.1666667,36.222,13.907,14.901,162,3.14705882352941
"UX1993-180",1,1,2,4,95,NA,19.2,2.2,31.971,13.03,13.731,170,3.45833333333333
"UX1993-186",1,3,3,5,85,NA,18.83333,1.3333333,33.113,13.301,13.802,159,3.16814215365348
"UX1993-188",1,3,2.5,4,95,NA,17.416665,2.1666667,38.034,13.9655,14.652,156,2.78790820057588
"UX1993-189",1,2,1,4,90,NA,17.5,1.6666667,41.371,15.314,16.331,156,3.39047619047619
"UX1993-19",1,2,3,5,90,NA,20,0.8333333,32.248,13.518,14.303,158,3.41666666666667
"UX1993-191",1,2,2,5,85,NA,19.66667,2.6666667,34.859,14.181,14.482,164,2.8983045935077
"UX1993-192",1,3,4,4,85,NA,18.5,1.6666667,37.096,14.785,15.481,160,3.01801801801802
"UX1993-193",1,4,0,NA,80,NA,16.33333,1.8333333,29.315,12.313,12.742,153,3.28571495626836
"UX1993-197",1,3,1,5,100,NA,17.33333,2,41.472,15.226,15.585,158,2.88461593934922
"UX1993-2",1,3,0,5,75,NA,17.83333,2.1666667,39.608,15.112,15.77,157,2.89719680321436
"UX1993-21",1,2,1,5,85,NA,20,0.6666667,33.947,13.989,15.077,159,3.56666666666667
"UX1993-23",1,2,1,5,95,NA,17.83333,0.8333333,41.717,15.433,16.377,159,3.40186979474202
"UX1993-24",1,3,2,5,90,NA,20,1.1666667,33.792,13.793,14.675,159,3.675
"UX1993-25",1,3,2,3,95,NA,19.16667,2.3333333,36.424,13.678,14.842,164,3.13912988884698
"UX1993-26",1,4,0,6,105,NA,17.5,1.5,38.474,14.383,15.19,157,2.8952380952381
"UX1993-28",1,2,0,2,100,NA,19.66667,2.6666667,33.994,13.222,13.454,175,2.46610127693199
"UX1993-29",1,4,1,5,85,NA,15.83333,1.8333333,33.047,13.676,14.26,158,3.11579012964003
"UX1993-3",1,3,1,5,95,NA,17,2,39.655,15.017,15.449,157,2.85294117647059
"UX1993-30",1,3,2,4,85,NA,18,1.1666667,41.613,14.977,15.97,156,2.94444444444444
"UX1993-31",1,2,1,2,95,NA,22.83333,3.5,34.534,13.732,14.183,171,2.81751865949177
"UX1993-32",1,4,2,5,85,NA,19.8,1.4,33.579,13.19,14.135,160,3.39393939393939
"UX1993-33",1,2,3,6,85,NA,18.66667,1.8333333,35.431,13.579,14.262,160,3.00892803411999
"UX1993-34",1,3,2,3,90,NA,22.16667,1.8333333,27.107,11.769,11.979,173,3.12030028266161
"UX1993-35",1,3,2,NA,85,NA,18.83333,1.8333333,30.815,12.864,13.58,157,3.5309740762786
"UX1993-37",1,4,4,NA,75,NA,17.83333,1.5,33.579,13.23,13.691,155,3.02803794916597
"UX1993-38",1,2,4,2,100,NA,22.33333,3.5,29.281,12.127,12.713,163,3.05970194920925
"UX1993-4",1,3,0,6,90,NA,17.33333,1.6666667,37.039,13.916,14.746,157,3.17307753328414
"UX1993-40",1,2,3,4,95,NA,20.66667,1.5,32.681,13.331,13.881,170,3.1854833571801
"UX1993-41",1,3,0,1,90,NA,20.66667,2.3333333,31.191,12.614,12.861,172,2.7741931009366
"UX1993-42",1,2,1,4,80,NA,19.16667,2,34.641,12.742,14.346,161,3.19999944347836
"UX1993-43",1,4,0,NA,85,NA,17.33333,1.3333333,33.199,13.944,14.532,158,2.93269287167171
"UX1993-44",1,3,3,NA,95,NA,18.2,1.25,34.598,13.568,14.2265,155,3.20052557105316
"UX1993-45",1,1,3,4,90,NA,18,1.5,41.358,15.664,16.272,162,3
"UX1993-46",1,4,2,5,80,NA,16.16667,2,34.234,13.17,13.967,156,3.01030865766832
"UX1993-47",1,4,4,NA,85,NA,17.5,1.3333333,30.65,12.642,13.254,155,2.79047619047619
"UX1993-48",1,2,3,3,105,NA,20.5,2.3333333,39.451,14.881,15.352,161,2.83739837398374
"UX1993-49",1,2,0,4,80,NA,20.33333,1.5,36.304,14.93,15.602,159,3.04918082773456
"UX1993-5",1,3,2,3,100,NA,19.16667,1.3333333,37.131,14.208,14.865,156,3.33043420340275
"UX1993-50",1,3,0,5,80,NA,20.16667,1.1666667,34.527,13.905,14.27,156,3.27272673178071
"UX1993-51",1,3,2,7,80,NA,19,2,29.753,12.238,12.504,158,2.98245614035088
"UX1993-52",1,2,0,2,90,NA,21.8,1.8,32.244,12.719,13.382,174,3.19266055045872
"UX1993-55",1,3,2,3,85,NA,21,1.6,28.605,11.537,11.667,177,2.85714285714286
"UX1993-56",1,3,1,5,87.5,NA,18.5,2,36.2945,14.3705,14.972,159,3.12751626664788
"UX1993-57",1,4,3,NA,85,NA,19.33333,1.8333333,25.63,11.449,11.731,159,2.93965567925098
"UX1993-59",1,2,3,4,100,NA,22.5,2.8333333,29.519,12.324,12.941,169,2.88148148148148
"UX1993-6",1,2,3,2,90,NA,20.5,1.8333333,33.278,13.117,13.592,173,3.03252032520325
"UX1993-60",1,1,NA,5,85,NA,17.2,1.8,33.056,11.512,14.369,161,4.08139534883721
"UX1993-61",1,3,NA,5,90,NA,18,1.8,29.534,10.936,13.029,158,3.47777777777778
"UX1993-62",1,2,NA,4,95,NA,20.4,2.6,36.745,14.107,14.784,161,3.01960784313726
"UX1993-63",1,3,2,5,95,NA,19.2,1.2,27.249,9.551,12.818,160,4.57291666666667
"UX1993-65",1,3,NA,4,95,NA,19.2,1,31.335,13.243,13.731,159,1.8125
"UX1993-66",1,3,NA,6,90,NA,17.2,2,37.559,14.139,14.505,156,2.91860465116279
"UX1993-67",1,1,NA,5,90,NA,18.2,2.6,32.409,12.814,13.342,162,2.72527472527473
"UX1993-68",1,4,NA,4,95,NA,18.2,1,32.219,12.429,13.234,158,3.37362637362637
"UX1993-69",1,2.5,1.5,5,92.5,NA,17.05,2.3,31.887,12.4965,13.229,159,2.89267676767677
"UX1993-7",1,1,1,6,85,NA,17.66667,2.1666667,38.034,14.814,15.405,161,2.67924477750099
"UX1993-70",1,3,NA,5,90,NA,17.6,0.8,33.948,13.242,13.944,157,3.52272727272727
"UX1993-71",1,2,NA,5,95,NA,18.8,2.2,43.369,15.985,16.661,160,2.96808510638298
"UX1993-72",1,1,NA,4,95,NA,22.2,2.6,30.258,12.249,12.502,177,2.81081081081081
"UX1993-73",1,3,1,4,85,NA,18.6,2.4,30.831,12.155,13.194,157,3.02150537634409
"UX1993-74",1,3,NA,4,90,NA,20.4,1,30.114,11.549,12.543,157,3.15686274509804
"UX1993-75",1,3,NA,4,85,NA,23,1.8,NA,NA,NA,167,NA
"UX1993-76",1,3,NA,4,80,NA,17.6,1.2,41.085,14.951,15.338,157,2.93181818181818
"UX1993-77",1,2,2,1,100,NA,21.4,2.8,36.578,14.15,14.903,170,2.98130841121495
"UX1993-78",1,4,NA,5,85,NA,18.8,0.6,36.275,13.913,14.507,162,3.52127659574468
"UX1993-79",1,3,NA,4,85,NA,16.4,1.6,38.43,14.022,14.577,161,2.96341463414634
"UX1993-8",1,3,2,7,80,NA,20.5,1.6666667,39.628,15.281,15.803,158,3.0650406504065
"UX1993-80",1,2,NA,5,85,NA,20.2,1.6,36.548,14.345,14.85,159,2.93069306930693
"UX1993-82",1,3,NA,6,95,NA,17.2,1.2,36.785,14.073,14.575,158,3.22093023255814
"UX1993-83",1,3,1,5,85,NA,18,2,31.979,12.578,13.647,156,2.74444444444444
"UX1993-85",1,2,NA,2,100,NA,19.8,3.2,31.447,12.399,13.15,175,2.37373737373737
"UX1993-86",1,3,NA,4,95,NA,17.6,0.6,33.865,12.947,13.558,160,3.21590909090909
"UX1993-87",1,3,NA,6,80,NA,18.2,1.6,31.583,12.849,13.345,156,2.72527472527473
"UX1993-88",1,4,NA,5,95,NA,16.4,1,34.854,13.682,14.434,158,3.03658536585366
"UX1993-9",1,3,2,5,90,NA,18.16667,1.1666667,42.069,15.269,16.506,157,3.38532047975771
"UX1993-90",1,4,NA,6,95,NA,15.8,1.2,31.297,11.868,12.508,157,2.73417721518987
"UX1993-91",1,4,NA,NA,80,NA,17.6,1,25.845,11.378,11.82,159,3.09090909090909
"UX1993-92",1,2,NA,2,105,NA,24.6,1.4,33.972,13.442,14.157,173,2.91056910569106
"UX1993-93",1,3,2,4,95,NA,17.4,2.6,32.262,12.112,13.163,158,2.59770114942529
"UX1993-94",1,3,NA,4,95,NA,19,0.8,34.463,13.633,14.496,160,3.32631578947368
"UX1993-95",1,3,2,3,85,NA,18.2,1.6,24.779,11.521,11.883,161,1.28571428571429
"UX1993-96",1,3,1,4,95,NA,16.4,2.4,33.599,13.308,14.58,156,2.81707317073171
"UX1993-97",1,3,2,6,85,NA,17,1.6,35.638,13.863,14.144,157,2.57647058823529
"UX1993-98",1,2,NA,2,100,NA,22,2.4,34.97,13.101,13.968,174,2.67272727272727
"UX1993-99",1,2,NA,2,90,NA,19.8,2.2,31.649,12.48,12.923,173,2.3030303030303
"UX1994-10",1,2,0,NA,80,NA,NA,NA,NA,NA,NA,163,NA
"UX1994-100",0,3,NA,3,85,NA,NA,NA,NA,NA,NA,162,NA
"UX1994-101",1,2,NA,3,95,NA,NA,NA,NA,NA,NA,163,NA
"UX1994-103",1,2,NA,2,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1994-104",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-105",1,3,NA,3,90,NA,NA,NA,NA,NA,NA,157,NA
"UX1994-106",1,2,NA,2,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-108",0,2,NA,3,80,NA,NA,NA,NA,NA,NA,157,NA
"UX1994-109",1,2,0,4,100,NA,NA,NA,NA,NA,NA,162,NA
"UX1994-11",1,2,1,NA,90,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-111",1,3,NA,3,85,NA,NA,NA,NA,NA,NA,157,NA
"UX1994-113",1,2,0,NA,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-114",1,2,NA,3,95,NA,NA,NA,NA,NA,NA,162,NA
"UX1994-115",1,2,NA,2,85,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-116",0,3,NA,2,80,NA,NA,NA,NA,NA,NA,162,NA
"UX1994-120",1,2,2,NA,85,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-121",0,2,0,NA,80,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-122",0,3,0,NA,75,NA,NA,NA,NA,NA,NA,158,NA
"UX1994-123",0,2,NA,2,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1994-124",1,2,1,NA,70,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-125",0,2,NA,4,85,NA,NA,NA,NA,NA,NA,158,NA
"UX1994-127",1,2,0,3,80,NA,NA,NA,NA,NA,NA,158,NA
"UX1994-128",1,3,NA,2,90,NA,NA,NA,NA,NA,NA,162,NA
"UX1994-129",1,2,1,NA,75,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-13",1,2,0,3,85,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-130",1,2,1,NA,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-131",1,2,1,NA,85,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-132",1,2,NA,2,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-133",0,2,NA,3,80,NA,NA,NA,NA,NA,NA,158,NA
"UX1994-134",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-135",1,2,1,2,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1994-136",1,2,NA,2,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-137",1,2,NA,2,80,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-138",1,2,0,NA,80,NA,NA,NA,NA,NA,NA,158,NA
"UX1994-139",1,2,1,NA,80,NA,NA,NA,NA,NA,NA,155,NA
"UX1994-14",1,3,1,NA,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1994-140",1,3,1,NA,90,NA,NA,NA,NA,NA,NA,156,NA
"UX1994-150",0,2,2,NA,90,NA,NA,NA,NA,NA,NA,158,NA
"UX1994-152",0,2,1,1,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-153",1,2,0,NA,95,NA,NA,NA,NA,NA,NA,161,NA
"UX1994-155",0,2,1,NA,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1994-158",1,2,NA,2,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1994-159",0,2,0,3,80,NA,NA,NA,NA,NA,NA,156,NA
